date,code,name,close_price,high_price,low_price,open_price,yest_close_price,diff,diff_ratio,volume,amount
2000-12-28,000001,sh,2053.704,2061.051,2047.742,2054.517,2058.244,-4.54,-0.2206,13842400,12094517500.0
2000-12-27,000001,sh,2058.244,2079.762,2055.998,2077.718,2076.266,-18.022,-0.868,11761632,12187668750.0
2000-12-26,000001,sh,2076.266,2076.408,2068.813,2070.377,2068.174,8.092,0.3913,10428055,11202717500.0
2000-12-25,000001,sh,2068.174,2075.213,2062.036,2071.567,2069.768,-1.594,-0.077,12061012,12387263750.0
2000-12-22,000001,sh,2069.768,2079.967,2066.223,2078.426,2076.886,-7.118,-0.3427,12032660,13112525000.0
2000-12-21,000001,sh,2076.886,2086.939,2074.336,2075.562,2071.268,5.618,0.2712,12498349,12858221250.0
2000-12-20,000001,sh,2071.268,2071.309,2048.642,2050.068,2049.032,22.236,1.0852,11920718,11602758750.0
2000-12-19,000001,sh,2049.032,2056.757,2046.029,2047.348,2044.545,4.487,0.2195,11368183,11497227500.0
2000-12-18,000001,sh,2044.545,2044.56,2024.286,2038.448,2039.364,5.181,0.254,11262588,9722610630.0
2000-12-15,000001,sh,2039.364,2055.609,2036.881,2052.793,2051.079,-11.715,-0.5712,13205907,8960870000.0
2000-12-14,000001,sh,2051.079,2059.273,2046.938,2056.998,2056.12,-5.041,-0.2452,14192813,7967483750.0
2000-12-13,000001,sh,2056.12,2059.601,2050.178,2057.383,2059.053,-2.933,-0.1424,9385102,8980598750.0
2000-12-12,000001,sh,2059.053,2059.053,2037.901,2045.17,2046.076,12.977,0.6342,10991828,9739956880.0
2000-12-11,000001,sh,2046.076,2072.476,2039.003,2072.283,2073.163,-27.087,-1.3066,11986534,9804583750.0
2000-12-08,000001,sh,2073.163,2083.271,2069.66,2074.566,2075.044,-1.881,-0.0906,11583235,10927191250.0
2000-12-07,000001,sh,2075.044,2078.142,2060.729,2072.531,2075.627,-0.583,-0.0281,9687361,10537900000.0
2000-12-06,000001,sh,2075.627,2095.436,2070.349,2092.996,2091.67,-16.043,-0.767,11383325,11312073750.0
2000-12-05,000001,sh,2091.67,2097.289,2085.8,2094.994,2092.139,-0.469,-0.0224,13895864,9776104380.0
2000-12-04,000001,sh,2092.139,2092.323,2077.809,2084.484,2081.843,10.296,0.4946,14228850,10347586250.0
2000-12-01,000001,sh,2081.843,2082.028,2071.495,2073.089,2070.613,11.23,0.5424,12285286,9405847500.0
2000-11-30,000001,sh,2070.613,2072.291,2057.041,2067.07,2067.495,3.118,0.1508,8465550,8872508130.0
2000-11-29,000001,sh,2067.495,2082.901,2055.939,2081.496,2079.396,-11.901,-0.5723,9943629,11117321250.0
2000-11-28,000001,sh,2079.396,2079.479,2052.776,2052.776,2049.671,29.725,1.4502,8588966,9509442500.0
2000-11-27,000001,sh,2049.671,2062.806,2031.931,2041.155,2053.37,-3.699,-0.1801,10587826,11788421250.0
2000-11-24,000001,sh,2053.37,2125.406,2045.514,2119.01,2119.439,-66.069,-3.1173,16497562,17176943750.0
2000-11-23,000001,sh,2119.439,2125.724,2109.219,2119.156,2113.303,6.136,0.2904,12492077,14551248750.0
2000-11-22,000001,sh,2113.303,2113.348,2091.624,2097.281,2097.982,15.321,0.7303,12146707,12501190000.0
2000-11-21,000001,sh,2097.982,2112.912,2095.582,2104.068,2101.389,-3.407,-0.1621,12479718,12454691250.0
2000-11-20,000001,sh,2101.389,2101.398,2078.277,2092.591,2093.235,8.154,0.3895,13102959,13832418750.0
2000-11-17,000001,sh,2093.235,2104.699,2084.899,2098.888,2095.984,-2.749,-0.1312,11801326,13403346250.0
2000-11-16,000001,sh,2095.984,2096.048,2080.608,2081.139,2081.905,14.079,0.6763,12821820,14423035000.0
2000-11-15,000001,sh,2081.905,2092.65,2074.377,2087.277,2085.118,-3.213,-0.1541,13334267,14746307500.0
2000-11-14,000001,sh,2085.118,2085.118,2055.212,2072.793,2070.788,14.33,0.692,12448777,14683290000.0
2000-11-13,000001,sh,2070.788,2071.689,2053.44,2054.479,2047.458,23.33,1.1395,14408777,15914337500.0
